timestamp,source,scenario,backbone,transfer_mode,ckpt,base_val_acc,clean_acc,corruption_mean_acc,corruption_mean_error,relative_robustness_mean,corruption_worst_name,corruption_worst_acc,corruption_worst_error,relative_robustness_worst,seconds,corruption__brightness_shift_+0.10,corruption__brightness_shift_+0.20,corruption__brightness_shift_-0.10,corruption__brightness_shift_-0.20,corruption__gaussian_noise_sigma_0.05,corruption__gaussian_noise_sigma_0.1,corruption__gaussian_noise_sigma_0.2,corruption__motion_blur_h_k9,corruption__motion_blur_v_k9,corruption_error__brightness_shift_+0.10,corruption_error__brightness_shift_+0.20,corruption_error__brightness_shift_-0.10,corruption_error__brightness_shift_-0.20,corruption_error__gaussian_noise_sigma_0.05,corruption_error__gaussian_noise_sigma_0.1,corruption_error__gaussian_noise_sigma_0.2,corruption_error__motion_blur_h_k9,corruption_error__motion_blur_v_k9,relative_robustness__brightness_shift_+0.10,relative_robustness__brightness_shift_+0.20,relative_robustness__brightness_shift_-0.10,relative_robustness__brightness_shift_-0.20,relative_robustness__gaussian_noise_sigma_0.05,relative_robustness__gaussian_noise_sigma_0.1,relative_robustness__gaussian_noise_sigma_0.2,relative_robustness__motion_blur_h_k9,relative_robustness__motion_blur_v_k9
2026-03-16 14:03:12,scenario1,linear_probe,densenet121,linear_probe,model_checkpoints/linear_probe/densenet121/20260313-120249/best.pt,0.9204545454545454,0.9204545454545454,0.535974555545383,0.464025444454617,0.5822933442962186,gaussian_noise_sigma_0.05,0.02556818181818182,0.9744318181818182,0.02777777777777778,52.17,0.8970170454545454,0.8806818181818182,0.9010004943067377,0.8406311761249196,0.02556818181818182,0.02556818181818182,0.040482954545454544,0.5872344374656677,0.6255867101929404,0.10298295454545459,0.11931818181818177,0.09899950569326232,0.15936882387508045,0.9744318181818182,0.9744318181818182,0.9595170454545454,0.4127655625343323,0.37441328980705957,0.9745370370370371,0.9567901234567903,0.9788647345554682,0.9132783148023818,0.02777777777777778,0.02777777777777778,0.04398148148148148,0.6379830925552934,0.67964975922196
2026-03-16 14:04:00,scenario2,fine_tune,densenet121,selective_20,model_checkpoints/fine_tune/densenet121/20260313-153052/modes/selective_20/best.pt,0.9509943181818182,0.9509943181818182,0.5783308630037789,0.4216691369962211,0.608132826818014,gaussian_noise_sigma_0.2,0.02911931818181818,0.9708806818181818,0.03061986557132188,48.19,0.9431818181818182,0.9289772727272727,0.9353693181818182,0.8806818181818182,0.029829545454545456,0.03409090909090909,0.02911931818181818,0.7014266306703741,0.7223011363636364,0.05681818181818177,0.07102272727272729,0.06463068181818177,0.11931818181818177,0.9701704545454546,0.9659090909090909,0.9708806818181818,0.29857336932962586,0.27769886363636365,0.9917849141150112,0.9768483943241224,0.9835698282300224,0.9260642270351008,0.03136669156086632,0.03584764749813293,0.03061986557132188,0.7375718416608564,0.7595220313666915
2026-03-16 14:04:49,scenario2,fine_tune,densenet121,last_block,model_checkpoints/fine_tune/densenet121/20260313-153052/modes/last_block/best.pt,0.9545454545454546,0.9545454545454546,0.5835391963371124,0.4164608036628876,0.6113267771150701,gaussian_noise_sigma_0.1,0.02556818181818182,0.9744318181818182,0.026785714285714288,49.42,0.9424715909090909,0.9282670454545454,0.9431818181818182,0.9012784090909091,0.03196022727272727,0.02556818181818182,0.036931818181818184,0.7116477272727273,0.7305459488521923,0.05752840909090906,0.07173295454545459,0.05681818181818177,0.09872159090909094,0.9680397727272727,0.9744318181818182,0.9630681818181818,0.2883522727272727,0.26945405114780774,0.9873511904761905,0.972470238095238,0.9880952380952381,0.9441964285714285,0.033482142857142856,0.026785714285714288,0.03869047619047619,0.7455357142857143,0.7653338511784871
2026-03-16 14:05:39,scenario2,fine_tune,densenet121,full_ft,model_checkpoints/fine_tune/densenet121/20260313-153052/modes/full_ft/best.pt,0.9502840909090909,0.9502840909090909,0.7774586902103491,0.22254130978965092,0.8181329116712791,gaussian_noise_sigma_0.2,0.22328927867453208,0.7767107213254679,0.2349710795020487,49.83,0.9509943181818182,0.9325284090909091,0.9275568181818182,0.8764204545454546,0.9169034090909091,0.7109683792699467,0.22328927867453208,0.6918231221762571,0.7666440226814963,0.04900568181818177,0.06747159090909094,0.07244318181818177,0.12357954545454541,0.08309659090909094,0.2890316207300533,0.7767107213254679,0.3081768778237429,0.23335597731850366,1.000747384155456,0.9813153961136023,0.976083707025411,0.922272047832586,0.9648729446935724,0.7481640343887033,0.2349710795020487,0.7280171569687369,0.8067524543613952
2026-03-16 14:06:28,scenario1,linear_probe,inception_v3,linear_probe,model_checkpoints/linear_probe/inception_v3/20260313-115321/best.pt,0.8821022727272727,0.8821022727272727,0.7096302702721924,0.2903697297278076,0.804476184012276,gaussian_noise_sigma_0.2,0.2873023714531552,0.7126976285468448,0.3257018832576832,48.95,0.8792613636363636,0.8645009886134755,0.8721590909090909,0.8029891306703741,0.8100914033976468,0.6701766306703741,0.2873023714531552,0.5738945156335831,0.6262969374656677,0.12073863636363635,0.13549901138652454,0.12784090909090906,0.19701086932962586,0.18990859660235315,0.32982336932962586,0.7126976285468448,0.42610548436641693,0.3737030625343323,0.9967793880837359,0.9800462093138272,0.9887278582930757,0.9103129597293774,0.9183644895200377,0.7597493526440312,0.3257018832576832,0.6505986135363003,0.7100049017324156
2026-03-16 14:07:18,scenario2,fine_tune,inception_v3,selective_20,model_checkpoints/fine_tune/inception_v3/20260313-135849/modes/selective_20/best.pt,0.9161931818181818,0.9161931818181818,0.7275712286884135,0.2724287713115865,0.794124255808749,gaussian_noise_sigma_0.2,0.23344861648299478,0.7665513835170052,0.2548028310139974,49.68,0.9105113636363636,0.8889266306703741,0.9026988636363636,0.8678977272727273,0.8210227272727273,0.6524209488521923,0.23344861648299478,0.6129570156335831,0.658257164738395,0.08948863636363635,0.11107336932962586,0.09730113636363635,0.1321022727272727,0.1789772727272727,0.34757905114780774,0.7665513835170052,0.38704298436641693,0.341742835261605,0.9937984496124032,0.9702392992123154,0.9852713178294574,0.9472868217054264,0.8961240310077521,0.7120997643285943,0.2548028310139974,0.6690259519473527,0.7184698356214421
2026-03-16 14:08:07,scenario2,fine_tune,inception_v3,last_block,model_checkpoints/fine_tune/inception_v3/20260313-135849/modes/last_block/best.pt,0.8796936761249196,0.8796936761249196,0.6942523059369338,0.30574769406306623,0.7891977909800815,gaussian_noise_sigma_0.2,0.2540452073920857,0.7459547926079143,0.28878826151298875,48.82,0.8796936761249196,0.8616600795225664,0.8605175397612832,0.8058300397612832,0.7838129943067377,0.6720293977043845,0.2540452073920857,0.5253829055211761,0.6052989133379676,0.12030632387508045,0.1383399204774336,0.1394824602387168,0.1941699602387168,0.21618700569326232,0.3279706022956155,0.7459547926079143,0.47461709447882394,0.3947010866620324,1.0,0.9795001406832982,0.978201347941811,0.9160348217017904,0.8910067397090548,0.7639356925523175,0.28878826151298875,0.5972339233305684,0.6880791913889046
2026-03-16 14:08:59,scenario2,fine_tune,inception_v3,full_ft,model_checkpoints/fine_tune/inception_v3/20260313-135849/modes/full_ft/best.pt,0.9403409090909091,0.9403409090909091,0.7283878185212462,0.27161218147875377,0.7745997344999356,gaussian_noise_sigma_0.2,0.18422677867453208,0.8157732213254679,0.19591488245750843,52.58,0.9346590909090909,0.9069602272727273,0.9190340909090909,0.8657670454545454,0.8174715909090909,0.5631175894628871,0.18422677867453208,0.6872529644857753,0.6770009886134755,0.06534090909090906,0.09303977272727271,0.08096590909090906,0.13423295454545459,0.18252840909090906,0.43688241053711285,0.8157732213254679,0.31274703551422467,0.32299901138652454,0.9939577039274925,0.9645015105740182,0.9773413897280967,0.9206948640483383,0.8693353474320242,0.5988440830541881,0.19591488245750843,0.7308551163111568,0.7199527129665962
2026-03-16 14:09:50,scenario1,linear_probe,resnet50,linear_probe,model_checkpoints/linear_probe/resnet50/20260313-114331/best.pt,0.8913352272727273,0.8913352272727273,0.5303579270839691,0.4696420729160309,0.5950151086328513,gaussian_noise_sigma_0.05,0.03977272727272727,0.9602272727272727,0.044621513944223104,50.67,0.8842329545454546,0.8771306818181818,0.8884943181818182,0.8420516306703741,0.03977272727272727,0.03977272727272727,0.03977272727272727,0.5525876974517648,0.6094058792699467,0.11576704545454541,0.12286931818181823,0.11150568181818177,0.15794836932962586,0.9602272727272727,0.9602272727272727,0.9602272727272727,0.44741230254823516,0.3905941207300533,0.9920318725099602,0.9840637450199202,0.9968127490039841,0.9447081242899497,0.044621513944223104,0.044621513944223104,0.044621513944223104,0.6199549625594302,0.683699982479749
2026-03-16 14:10:44,scenario2,fine_tune,resnet50,selective_20,model_checkpoints/fine_tune/resnet50/20260313-124028/modes/selective_20/best.pt,0.9346590909090909,0.9346590909090909,0.5611893390164231,0.4388106609835769,0.6004214204674192,gaussian_noise_sigma_0.05,0.029829545454545456,0.9701704545454546,0.031914893617021274,54.1,0.9240056818181818,0.9126420454545454,0.9240056818181818,0.8799715909090909,0.029829545454545456,0.029829545454545456,0.029829545454545456,0.6496417983011766,0.6709486164829948,0.07599431818181823,0.08735795454545459,0.07599431818181823,0.12002840909090906,0.9701704545454546,0.9701704545454546,0.9701704545454546,0.35035820169882337,0.32905138351700525,0.9886018237082066,0.9764437689969604,0.9886018237082066,0.9414893617021277,0.031914893617021274,0.031914893617021274,0.031914893617021274,0.6950574863283105,0.7178538389118971
2026-03-16 14:11:35,scenario2,fine_tune,resnet50,last_block,model_checkpoints/fine_tune/resnet50/20260313-124028/modes/last_block/best.pt,0.9602272727272727,0.9602272727272727,0.584915047342127,0.41508495265787304,0.6091422978237535,gaussian_noise_sigma_0.05,0.029829545454545456,0.9701704545454546,0.031065088757396452,51.35,0.9545454545454546,0.9488636363636364,0.9552556818181818,0.9190340909090909,0.029829545454545456,0.029829545454545456,0.029829545454545456,0.7056879943067377,0.6913599317724054,0.045454545454545414,0.051136363636363646,0.04474431818181823,0.08096590909090906,0.9701704545454546,0.9701704545454546,0.9701704545454546,0.2943120056932623,0.3086400682275946,0.9940828402366865,0.9881656804733728,0.9948224852071006,0.9571005917159764,0.031065088757396452,0.031065088757396452,0.031065088757396452,0.7349176745442949,0.7199961419641618
2026-03-16 14:12:25,scenario2,fine_tune,resnet50,full_ft,model_checkpoints/fine_tune/resnet50/20260313-124028/modes/full_ft/best.pt,0.9602272727272727,0.9602272727272727,0.7496328779844322,0.25036712201556777,0.7806827605044975,gaussian_noise_sigma_0.2,0.13849431818181818,0.8615056818181819,0.14423076923076922,49.62,0.9524147727272727,0.9417613636363636,0.9474431818181818,0.9109436761249196,0.8931879943067377,0.5940896746787158,0.13849431818181818,0.6937685283747587,0.6745923920111223,0.04758522727272729,0.058238636363636354,0.05255681818181823,0.08905632387508045,0.10681200569326232,0.40591032532128424,0.8615056818181819,0.30623147162524134,0.3254076079888777,0.9918639053254438,0.9807692307692308,0.9866863905325444,0.9486750709939991,0.930183946733644,0.6186969393103786,0.14423076923076922,0.7225045029228256,0.7025340887216421
